Year,Month_name,MetroTrain,Tram,RegionalTrain,MetroRegionalBus
2023,Dec,425262 ,131083 ,313417 ,338851 
2023,Nov,425262 ,131083 ,313417 ,338851 
2023,Oct,425262 ,131083 ,313417 ,338851 
2023,Sep,313705 ,130347 ,279494 ,319126 
2023,Aug,313705 ,130347 ,279494 ,319126 
2023,Jul,313705 ,130347 ,279494 ,319126 
2023,Jun,277896 ,114489 ,248596 ,309924 
2023,May,277896 ,114489 ,248596 ,309924 
2023,Apr,277896 ,114489 ,248596 ,309924 
2023,Mar,306839 ,116882 ,244669 ,293339 
2023,Feb,306839 ,116882 ,244669 ,293339 
2023,Jan,306839 ,116882 ,244669 ,293339 
2022,Dec,301491 ,125151 ,285628 ,324019 
2022,Nov,301491 ,125151 ,285628 ,324019 
2022,Oct,301491 ,125151 ,285628 ,324019 
2022,Sep,330965 ,128823 ,234938 ,321225 
2022,Aug,330965 ,128823 ,234938 ,321225 
2022,Jul,330965 ,128823 ,234938 ,321225 
2022,Jun,294828 ,119208 ,273005 ,311313 
2022,May,294828 ,119208 ,273005 ,311313 
2022,Apr,294828 ,119208 ,273005 ,311313 
2022,Mar,325345 ,135272 ,184243 ,276405 
2022,Feb,325345 ,135272 ,184243 ,276405 
2022,Jan,325345 ,135272 ,184243 ,276405 
2021,Dec,284939 ,122177 ,259851 ,300621 
2021,Nov,284939 ,122177 ,259851 ,300621 
2021,Oct,284939 ,122177 ,259851 ,300621 
2021,Sep,296463 ,134062 ,222959 ,294293 
2021,Aug,296463 ,134062 ,222959 ,294293 
2021,Jul,296463 ,134062 ,222959 ,294293 
2021,Jun,253471 ,129431 ,173034 ,288203 
2021,May,253471 ,129431 ,173034 ,288203 
2021,Apr,253471 ,129431 ,173034 ,288203 
2021,Mar,228821 ,116220 ,179185 ,264373 
2021,Feb,228821 ,116220 ,179185 ,264373 
2021,Jan,228821 ,116220 ,179185 ,264373 
