Year,VehicleType,VehicleNum
2021,Passenger vehicles,3956393 
2022,Passenger vehicles,4000138 
2023,Passenger vehicles,4071171 
2021,Campervans,21449 
2022,Campervans,22779 
2023,Campervans,24222 
2021,Light commercial vehicles,807194 
2022,Light commercial vehicles,842658 
2023,Light commercial vehicles,873216 
2021,Light rigid trucks,42770 
2022,Light rigid trucks,45479 
2023,Light rigid trucks,50136 
2021,Heavy rigid trucks,88649 
2022,Heavy rigid trucks,90883 
2023,Heavy rigid trucks,92895 
2021,Articulated trucks,31343 
2022,Articulated trucks,32635 
2023,Articulated trucks,33793 
2021,Non-freight-carrying vehicles,10612 
2022,Non-freight-carrying vehicles,10916 
2023,Non-freight-carrying vehicles,11283 
2021,Buses,20053 
2022,Buses,20145 
2023,Buses,20494 
2021,Motorcycles,196521 
2022,Motorcycles,202501 
2023,Motorcycles,206967 
